
Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


 The epoch is 180, average recall: 0.7759, average precision: 0.7627,average F1: 0.7692, average accuracy: 0.7712, average AUC: 0.8233
Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0021, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


 The epoch is 190, average recall: 0.7759, average precision: 0.7258,average F1: 0.7500, average accuracy: 0.7458, average AUC: 0.8086
Train set: Average loss: 0.0011, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0022, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


 The epoch is 200, average recall: 0.7414, average precision: 0.7288,average F1: 0.7350, average accuracy: 0.7373, average AUC: 0.7851
Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0034, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0041, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0031, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0021, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 419/425 (99%)


 The epoch is 210, average recall: 0.7931, average precision: 0.7188,average F1: 0.7541, average accuracy: 0.7458, average AUC: 0.8322
Train set: Average loss: 0.0012, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0020, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0012, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0017, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


 The epoch is 220, average recall: 0.7759, average precision: 0.7143,average F1: 0.7438, average accuracy: 0.7373, average AUC: 0.7879
Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0038, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0021, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0026, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0030, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0030, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0021, Accuracy: 420/425 (99%)


 The epoch is 230, average recall: 0.7069, average precision: 0.7593,average F1: 0.7321, average accuracy: 0.7458, average AUC: 0.8253
Train set: Average loss: 0.0015, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 420/425 (99%)


 The epoch is 240, average recall: 0.7586, average precision: 0.7097,average F1: 0.7333, average accuracy: 0.7288, average AUC: 0.7994
Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


 The epoch is 250, average recall: 0.7586, average precision: 0.7097,average F1: 0.7333, average accuracy: 0.7288, average AUC: 0.7741
Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0009, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 418/425 (98%)


 The epoch is 260, average recall: 0.7241, average precision: 0.6885,average F1: 0.7059, average accuracy: 0.7034, average AUC: 0.8017
Train set: Average loss: 0.0043, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0010, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0021, Accuracy: 416/425 (98%)


